student_id,gender,immigrant_status,SES,achievement,psychological_distress
75,male,non-immigrant,3.2,51.1,1
76,female,2nd-gen,7.3,69.6,1
77,female,non-immigrant,7.4,66.8,0
78,female,2nd-gen,4.9,49.0,1
79,male,2nd-gen,5.4,78.4,0
80,female,non-immigrant,5.1,67.7,0
81,female,non-immigrant,6.5,52.6,1
82,female,non-immigrant,6.4,60.0,1
83,male,non-immigrant,4.2,59.6,0
84,male,non-immigrant,6.2,71.6,0
85,female,non-immigrant,2.8,82.7,1
86,male,2nd-gen,3.4,52.1,1
87,male,non-immigrant,6.8,67.9,0
88,male,non-immigrant,7.5,26.2,0
89,male,non-immigrant,3.8,42.8,1
90,female,non-immigrant,3.3,55.3,1
91,male,2nd-gen,4.5,58.7,1
92,female,1st-gen,3.3,60.0,1
93,female,2nd-gen,4.3,75.1,1
94,female,non-immigrant,6.2,66.7,0
95,male,2nd-gen,1.1,84.7,1
96,male,1st-gen,1.6,73.7,1
97,female,non-immigrant,3.6,90.9,1
98,female,non-immigrant,5.2,42.1,1
99,female,2nd-gen,4.4,37.3,1
100,female,2nd-gen,6.3,99.5,1
101,male,non-immigrant,5.4,58.9,0
102,male,non-immigrant,7.1,37.4,0
103,male,1st-gen,5.0,83.5,0
104,female,1st-gen,3.7,73.9,1
105,male,non-immigrant,6.8,76.6,0
106,female,1st-gen,3.5,61.7,1
107,female,non-immigrant,6.2,44.9,1
108,female,2nd-gen,5.8,58.5,1
109,male,non-immigrant,7.7,53.2,0
110,male,non-immigrant,5.0,80.0,0
111,female,non-immigrant,4.6,72.5,0
112,female,2nd-gen,6.8,50.6,1
113,male,1st-gen,7.2,45.5,1
114,female,1st-gen,5.8,63.5,1
115,female,non-immigrant,3.7,67.0,1
116,female,non-immigrant,2.3,67.2,1
117,male,1st-gen,6.2,61.7,0
118,female,non-immigrant,2.5,64.9,1
119,male,non-immigrant,6.9,79.2,0
120,male,non-immigrant,4.7,50.9,0
121,male,non-immigrant,6.2,64.1,0
122,female,1st-gen,3.7,66.6,1
123,female,1st-gen,7.6,58.4,1
124,female,non-immigrant,7.0,76.1,0
125,female,non-immigrant,7.3,77.9,0
126,male,1st-gen,5.2,69.7,0
127,female,non-immigrant,6.5,57.7,1
128,male,2nd-gen,5.2,75.6,0
129,male,non-immigrant,2.3,67.6,0
130,male,non-immigrant,2.2,67.3,0
131,female,1st-gen,0.8,84.7,1
132,male,non-immigrant,7.7,75.6,0
133,male,non-immigrant,5.6,72.9,0
134,female,2nd-gen,6.4,88.4,1
135,female,non-immigrant,3.4,76.2,1
136,male,2nd-gen,3.4,51.9,1
137,female,2nd-gen,3.6,59.1,1
138,female,non-immigrant,1.5,44.0,1
139,male,non-immigrant,4.5,80.5,0
140,male,2nd-gen,4.7,78.8,0
141,female,2nd-gen,6.4,100.0,1
142,female,non-immigrant,4.4,70.9,0
143,male,non-immigrant,4.9,75.2,0
144,male,non-immigrant,5.6,70.2,0
145,female,non-immigrant,3.5,73.6,1
146,male,2nd-gen,3.4,85.5,1
147,female,1st-gen,4.9,79.0,1
148,male,non-immigrant,3.8,80.1,0
149,male,non-immigrant,3.4,74.5,0
150,male,non-immigrant,8.0,99.8,0
151,male,non-immigrant,7.0,86.9,0
152,female,1st-gen,3.3,66.0,1
153,male,2nd-gen,2.0,89.0,1
154,male,non-immigrant,6.9,74.2,0
155,female,non-immigrant,0.2,72.0,1
156,male,non-immigrant,4.5,65.4,0
157,male,1st-gen,6.8,79.3,0
158,male,non-immigrant,3.9,72.6,0
159,male,non-immigrant,5.7,58.4,0
160,male,1st-gen,3.4,83.2,1
161,female,non-immigrant,3.1,99.8,1
162,male,non-immigrant,5.6,98.0,0
163,male,1st-gen,3.7,77.6,1
164,female,2nd-gen,4.2,72.7,1
165,female,non-immigrant,7.9,46.9,1
166,male,1st-gen,5.4,56.5,1
167,female,non-immigrant,5.6,55.5,1
168,female,non-immigrant,6.0,88.4,0
169,male,non-immigrant,7.4,89.5,0
170,female,1st-gen,6.0,100.0,1
171,female,non-immigrant,3.3,56.1,1
172,male,1st-gen,3.9,100.0,1
173,male,non-immigrant,2.6,74.5,0
174,male,non-immigrant,7.9,92.1,0
175,female,2nd-gen,4.8,76.7,1
176,female,non-immigrant,6.7,83.9,0
177,female,non-immigrant,4.5,58.4,1
178,female,1st-gen,8.2,99.3,1
179,male,2nd-gen,6.1,62.7,0
180,female,non-immigrant,10.0,84.9,0
181,male,non-immigrant,3.2,46.9,1
182,female,2nd-gen,8.0,14.2,1
183,female,1st-gen,5.7,67.8,1
184,male,non-immigrant,6.4,71.2,0
185,female,non-immigrant,4.7,54.7,1
186,male,non-immigrant,4.7,70.3,0
187,female,non-immigrant,3.1,83.5,1
188,female,1st-gen,2.4,69.2,1
189,male,non-immigrant,5.4,86.8,0
190,male,1st-gen,5.3,70.3,0
191,female,2nd-gen,4.1,39.1,1
192,female,2nd-gen,5.7,80.5,1
193,male,non-immigrant,0.7,57.8,1
194,female,non-immigrant,5.5,47.5,1
195,male,1st-gen,8.0,77.5,0
196,female,non-immigrant,5.2,41.2,1
197,female,2nd-gen,4.1,61.6,1
198,female,non-immigrant,4.0,63.7,0
199,female,2nd-gen,1.5,36.2,1
200,female,non-immigrant,4.3,78.1,0
